EJERCICIO,NUM_PED,LUG_EMI,FECH_EMI,NUM_PED_ORI,FECH_EMI_ORI,CODIGO_DEP,CODIGO_UE,JURISDICCION,COSTO_TOT,OBSERVACIONES,PED_ESTADO,CANT_IMP,FECH_MODI_ULT,CODIGO_FF,COD_LUG_ENT,PLAZO_ENT,PER_CONSUMO,FECH_ING_COMP,RESP_RETIRA_PED
2005,1439,GRAL,2005-06-29 00:00:00,,,DESP,2,1110102000,150.0,,G,0,2005-07-05 08:02:38,110,1,000000,,,
2005,1440,GRAL,2005-06-29 00:00:00,,,HOSP,5,1110104000,640.0,,G,0,2005-06-29 12:42:12,110,2,000000,,,
2005,1446,GRAL,2005-06-30 00:00:00,,,DESP,2,1110102000,1000.0,,G,0,2005-06-30 08:25:47,110,1,000000,,,
2005,1443,GRAL,2005-06-30 00:00:00,,,HOSP,5,1110104000,1470.42,,G,0,2005-06-30 08:09:21,110,2,000000,,,
2005,1460,GRAL,2005-06-30 00:00:00,,,CO,2,1110102000,699.74,,G,0,2005-06-30 09:50:36,132,11,000000,,,
2005,1444,GRAL,2005-06-30 00:00:00,,,INT,1,1110101000,300.0,,N,0,2009-06-02 09:40:39,110,1,000000,,,
2005,1445,GRAL,2005-06-30 00:00:00,,,HOSP,5,1110104000,478.0,,G,0,2005-06-30 08:25:11,110,2,000000,,,
2005,1447,GRAL,2005-06-30 00:00:00,,,DEP,13,1110109000,220.0,,G,0,2005-06-30 08:30:01,132,9,000000,,,
2005,1448,GRAL,2005-06-30 00:00:00,,,CAS,3,1110111000,129.0,,G,0,2005-06-30 08:43:10,131,6,000000,,,
2005,1449,GRAL,2005-06-30 00:00:00,,,CAS,3,1110111000,1745.0,,G,0,2005-06-30 08:53:18,131,6,000000,,,
2005,1450,GRAL,2005-06-30 00:00:00,,,CAS,3,1110111000,535.0,,G,0,2005-06-30 08:56:25,131,6,000000,,,
2005,1451,GRAL,2005-06-30 00:00:00,,,BROM,11,1110104000,344.85,,G,0,2005-06-30 08:58:07,110,13,000000,,,
2005,1452,GRAL,2005-06-30 00:00:00,,,COMP,2,1110102000,534.0,,G,0,2005-06-30 09:00:18,110,1,000000,,,
2005,1453,GRAL,2005-06-30 00:00:00,,,JARD,7,1110106000,119.0,,G,0,2005-06-30 09:02:37,132,4,000000,,,
2005,1454,GRAL,2005-06-30 00:00:00,,,ACCSOC,7,1110106000,645.0,,G,0,2005-06-30 09:04:45,132,4,000000,,,
2005,1455,GRAL,2005-06-30 00:00:00,,,ACCSOC,7,1110106000,600.0,,G,0,2005-06-30 09:06:50,132,4,000000,,,
2005,1456,GRAL,2005-06-30 00:00:00,,,JARD,7,1110106000,119.0,,G,0,2005-06-30 09:08:33,132,4,000000,,,
2005,1457,GRAL,2005-06-30 00:00:00,,,ACCSOC,7,1110106000,1100.0,,G,0,2005-06-30 09:10:32,132,4,000000,,,
2005,1458,GRAL,2005-06-30 00:00:00,,,ACCSOC,7,1110106000,1530.0,,G,0,2005-06-30 09:22:47,132,4,000000,,,
2005,1466,GRAL,2005-07-01 00:00:00,,,CAS,3,1110111000,10200.0,,G,0,2005-07-01 09:23:22,131,6,000000,,,
2005,1459,GRAL,2005-06-30 00:00:00,,,COMP,2,1110102000,345.36,,G,0,2005-06-30 09:33:52,110,1,000000,,,
2005,1461,GRAL,2005-06-30 00:00:00,,,PROD,14,1110108000,478.0,,G,0,2005-06-30 10:58:07,132,8,000000,,,
2005,1462,GRAL,2005-06-30 00:00:00,,,MAYOR,2,1110102000,440.0,,G,0,2005-06-30 11:02:21,110,1,000000,,,
2005,1463,GRAL,2005-06-30 00:00:00,,,COMP,2,1110102000,130.6,,G,0,2005-06-30 11:15:15,110,1,000000,,,
2005,1464,GRAL,2005-06-30 00:00:00,,,INT,1,1110101000,699.01,,G,0,2005-06-30 11:56:21,110,1,000000,,,
2005,1465,GRAL,2005-06-30 00:00:00,,,INT,1,1110101000,1750.0,,G,0,2005-06-30 12:48:02,110,1,000000,,,
2005,1467,GRAL,2005-07-01 00:00:00,,,CAS,3,1110111000,18000.0,,G,0,2005-07-01 10:03:50,131,6,000000,,,
2005,1469,GRAL,2005-07-04 00:00:00,,,OPP,3,1110103000,1595.0,,G,0,2005-07-04 07:46:48,110,3,000000,,,
2005,1468,GRAL,2005-07-01 00:00:00,,,DEP,13,1110109000,200.0,,G,0,2005-07-01 10:24:00,110,9,000000,,,
2005,1470,GRAL,2005-07-04 00:00:00,,,SURB,3,1110103000,2880.0,,G,0,2005-07-04 08:36:29,110,3,000000,,,
2005,1472,GRAL,2005-07-04 00:00:00,,,ACCSOC,7,1110106000,2210.0,,G,0,2005-07-04 09:39:04,132,4,000000,,,
2005,1471,GRAL,2005-07-04 00:00:00,,,ACCSOC,7,1110106000,400.0,,G,0,2005-07-04 09:36:52,132,4,000000,,,
2005,1473,GRAL,2005-07-04 00:00:00,,,CO,2,1110102000,168.0,,G,0,2005-07-04 09:45:45,132,11,000000,,,
2005,1475,GRAL,2005-07-04 00:00:00,,,INSP,2,1110102000,299.99,,G,0,2005-07-04 10:59:00,110,16,000000,,,
2005,1474,GRAL,2005-07-04 00:00:00,,,CAS,3,1110111000,1463.25,,G,0,2005-07-04 09:54:51,131,6,000000,,,
2005,1478,GRAL,2005-07-05 00:00:00,,,PREN,1,1110101000,140.4,,G,0,2005-07-05 07:49:27,110,1,000000,,,
2005,1476,GRAL,2005-07-04 00:00:00,,,ACCSOC,7,1110106000,230.0,,G,0,2005-07-04 12:05:56,132,4,000000,,,
2005,1477,GRAL,2005-07-05 00:00:00,,,ACCSOC,7,1110106000,300.0,,G,0,2005-07-05 07:44:59,132,4,000000,,,
2005,1479,GRAL,2005-07-05 00:00:00,,,ACCSOC,7,1110106000,8497.5,,G,0,2005-07-05 07:52:00,132,4,000000,,,
2005,1480,GRAL,2005-07-05 00:00:00,,,CO,2,1110102000,1500.0,,G,0,2005-07-05 08:01:09,132,1,000000,,,
2005,1481,GRAL,2005-07-05 00:00:00,,,ACCSOC,7,1110106000,7171.0,,G,0,2005-07-05 08:08:25,132,4,000000,,,
2005,1482,GRAL,2005-07-05 00:00:00,,,ACCSOC,7,1110106000,7814.0,,G,0,2005-07-05 08:13:48,132,4,000000,,,
2005,1488,GRAL,2005-07-05 00:00:00,,,HOSP,5,1110104000,246.0,,G,0,2005-07-05 08:31:21,110,2,000000,,,
2005,1487,GRAL,2005-07-05 00:00:00,,,ACCSOC,7,1110106000,7617.5,,G,0,2005-07-05 08:27:45,132,4,000000,,,
2005,1483,GRAL,2005-07-05 00:00:00,,,ACCSOC,7,1110106000,7835.0,,G,0,2005-07-05 08:19:43,132,4,000000,,,
2005,1484,GRAL,2005-07-05 00:00:00,,,ACCSOC,7,1110106000,4758.0,,G,0,2005-07-05 08:23:35,132,4,000000,,,
2005,1485,GRAL,2005-07-05 00:00:00,,,ACCSOC,7,1110106000,2100.0,,G,0,2005-07-05 08:25:14,132,4,000000,,,
2005,1486,GRAL,2005-07-05 00:00:00,,,MANT,3,1110103000,231.9,,G,0,2005-07-05 08:27:36,110,3,000000,,,
2005,1491,GRAL,2005-07-05 00:00:00,,,OPP,3,1110103000,182.3,,G,0,2005-07-05 08:46:20,110,3,000000,,,
2005,1490,GRAL,2005-07-05 00:00:00,,,CAS,3,1110111000,409.0,,G,0,2005-07-05 08:41:50,131,6,000000,,,
2005,1489,GRAL,2005-07-05 00:00:00,,,CO,2,1110102000,156.0,,G,0,2005-07-05 08:35:49,132,11,000000,,,
2005,1492,GRAL,2005-07-05 00:00:00,,,PROD,14,1110108000,174.98,,G,0,2005-07-05 09:00:28,110,8,000000,,,
2005,1496,GRAL,2005-07-05 00:00:00,,,SURB,3,1110103000,550.0,,G,0,2005-07-05 11:57:05,110,3,000000,,,
2005,1495,GRAL,2005-07-05 00:00:00,,,SURB,3,1110103000,296.72,,G,0,2005-07-05 11:31:28,110,3,000000,,,
2005,1493,GRAL,2005-07-05 00:00:00,,,CULTUR,6,1110105000,250.0,,G,0,2005-07-05 09:03:22,110,5,000000,,,
2005,1494,GRAL,2005-07-05 00:00:00,,,HOSP,5,1110104000,3393.0,,G,0,2005-07-05 09:18:19,110,2,000000,,,
2005,1511,GRAL,2005-07-07 00:00:00,,,ACCSOC,7,1110106000,10000.0,,G,0,2005-07-07 09:19:20,132,4,000000,,,
2005,1497,GRAL,2005-07-05 00:00:00,,,RESID,3,1110103000,120.0,,G,0,2005-07-06 07:39:07,110,3,000000,,,
2005,1506,GRAL,2005-07-06 00:00:00,,,MANT,3,1110103000,1980.0,,G,0,2005-07-06 08:50:34,110,3,000000,,,
2005,1498,GRAL,2005-07-06 00:00:00,,,HOSP,5,1110104000,840.0,,G,0,2005-07-06 08:02:56,110,2,000000,,,
2005,1499,GRAL,2005-07-06 00:00:00,,,HOSP,5,1110104000,300.0,,G,0,2005-07-06 08:05:03,110,2,000000,,,
2005,1500,GRAL,2005-07-06 00:00:00,,,RECAUD,2,1110102000,1534.0,,G,0,2005-07-06 08:08:01,110,1,000000,,,
2005,1501,GRAL,2005-07-06 00:00:00,,,CAS,3,1110111000,485.0,,G,0,2005-07-06 08:09:51,131,6,000000,,,
2005,1502,GRAL,2005-07-06 00:00:00,,,CO,2,1110102000,762.0,,G,0,2005-07-06 08:16:22,132,11,000000,,,
2005,1503,GRAL,2005-07-06 00:00:00,,,CO,2,1110102000,480.0,,G,0,2005-07-06 08:18:17,132,11,000000,,,
2005,1504,GRAL,2005-07-06 00:00:00,,,CO,2,1110102000,105.0,,G,0,2005-07-06 08:20:37,132,11,000000,,,
2005,1505,GRAL,2005-07-06 00:00:00,,,CAS,3,1110111000,514.0,,G,0,2005-07-06 08:21:59,131,6,000000,,,
2005,1508,GRAL,2005-07-06 00:00:00,,,ACCSOC,7,1110106000,360.0,,G,0,2005-07-06 11:16:18,132,4,000000,,,
2005,1507,GRAL,2005-07-06 00:00:00,,,CEMEN,3,1110103000,1449.0,,G,0,2005-07-06 10:28:08,110,7,000000,,,
2005,1509,GRAL,2005-07-07 00:00:00,,,OPP,3,1110103000,2833.9,,G,0,2005-07-07 07:46:55,132,3,000000,,,
2005,1510,GRAL,2005-07-07 00:00:00,,,RESID,3,1110103000,200.84,,G,0,2005-07-07 08:51:35,110,3,000000,,,
2005,1513,GRAL,2005-07-07 00:00:00,,,PROD,14,1110108000,360.0,,G,0,2005-07-07 12:02:26,110,8,000000,,,
2005,1512,GRAL,2005-07-07 00:00:00,,,CAS,3,1110111000,1800.0,,G,0,2005-07-07 11:59:14,131,6,000000,,,
2005,1515,GRAL,2005-07-07 00:00:00,,,DESP,2,1110102000,560.0,,G,0,2005-07-07 12:09:51,110,1,000000,,,
2005,1514,GRAL,2005-07-07 00:00:00,,,TUR,12,1110110000,690.0,,G,0,2005-07-07 12:06:29,110,14,000000,,,
2005,1516,GRAL,2005-07-07 00:00:00,,,PROD,14,1110108000,150.0,,G,0,2005-07-07 12:14:11,110,8,000000,,,
2005,1517,GRAL,2005-07-07 00:00:00,,,CONT,2,1110102000,1056.0,,G,0,2005-07-07 12:20:58,110,1,000000,,,
2005,1519,GRAL,2005-07-08 00:00:00,,,OPP,3,1110103000,775.0,,G,0,2005-07-08 08:27:14,110,3,000000,,,
2005,1518,GRAL,2005-07-08 00:00:00,,,CO,2,1110102000,450.0,,G,0,2005-07-08 08:45:13,132,11,000000,,,
2005,1521,GRAL,2005-07-08 00:00:00,,,ASE,2,1110102000,383.0,,G,0,2005-07-08 09:07:16,110,1,000000,,,
2005,1520,GRAL,2005-07-08 00:00:00,,,PROD,14,1110108000,474.0,,G,0,2005-07-08 09:03:01,110,8,000000,,,
2005,1522,GRAL,2005-07-08 00:00:00,,,HOSP,5,1110104000,175.0,,G,0,2005-07-08 09:14:03,110,2,000000,,,
2005,1527,GRAL,2005-07-11 00:00:00,,,CAS,3,1110111000,2520.0,,G,0,2005-07-11 08:54:35,131,6,000000,,,
2005,1524,GRAL,2005-07-08 00:00:00,,,CEMEN,3,1110103000,124.0,,G,0,2005-07-08 11:11:28,110,7,000000,,,
2005,1523,GRAL,2005-07-08 00:00:00,,,DEP,13,1110109000,300.0,,G,0,2005-07-08 11:00:04,110,9,000000,,,
2005,1526,GRAL,2005-07-11 00:00:00,,,DEP,13,1110109000,1225.0,,G,0,2005-07-11 08:03:15,110,9,000000,,,
2005,1525,GRAL,2005-07-11 00:00:00,,,PROD,14,1110108000,180.0,,G,0,2005-07-11 07:32:19,110,8,000000,,,
2005,1539,GRAL,2005-07-11 00:00:00,,,SURB,3,1110103000,130.0,,G,0,2005-07-11 12:54:36,110,3,000000,,,
2005,1531,GRAL,2005-07-11 00:00:00,,,OPP,3,1110103000,51179.0,,G,0,2005-07-11 09:40:42,110,3,000000,,,
2005,1528,GRAL,2005-07-11 00:00:00,,,CAS,3,1110111000,4235.0,,G,0,2005-07-11 08:56:48,131,6,000000,,,
2005,1529,GRAL,2005-07-11 00:00:00,,,ACCSOC,7,1110106000,120.0,,G,0,2005-07-11 08:58:50,110,4,000000,,,
2005,1530,GRAL,2005-07-11 00:00:00,,,HOSP,5,1110104000,2430.0,,G,0,2005-07-11 09:29:48,110,2,000000,,,
2005,1536,GRAL,2005-07-11 00:00:00,,,OPP,3,1110103000,3636.77,,G,0,2005-07-11 11:02:13,110,3,000000,,,
2005,1532,GRAL,2005-07-11 00:00:00,,,CO,2,1110102000,264.0,,G,0,2005-07-11 10:19:31,132,11,000000,,,
2005,2280,GRAL,2005-09-28 00:00:00,,,HOSP,5,1110104000,337.0,,G,0,2005-09-28 10:24:55,110,2,000000,,,
2005,2283,GRAL,2005-09-29 00:00:00,,,GOBHAC,2,1110102000,713.0,,G,0,2005-09-29 08:39:12,110,1,000000,,,
2005,2285,GRAL,2005-09-29 00:00:00,,,CO,2,1110102000,151.0,,G,0,2005-09-29 11:34:30,132,11,000000,,,
2005,2282,GRAL,2005-09-29 00:00:00,,,GOBHAC,2,1110102000,900.0,,G,0,2005-09-29 08:34:55,110,1,000000,,,
2005,2284,GRAL,2005-09-29 00:00:00,,,GOBHAC,2,1110102000,636.0,,G,0,2005-09-29 09:58:44,110,1,000000,,,
2005,2287,GRAL,2005-09-29 00:00:00,,,JARD,7,1110106000,385.0,,G,0,2005-09-29 11:46:21,132,4,000000,,,
