CODIGO,DESCRIPCION,TIPO_DEDUC,PORCENTAJE,SALDO,DECRIPCION_AB,CODIGO_AXT,EJERCICIO
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2020
10,"APORTE PJ
",O,,0.0,PJ,74012,2020
11,"APORTE UCR
",O,,0.0,UCR,74011,2020
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2020
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2020
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2020
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2020
16,"F.O.S.
",O,,0.0,FOS,74013,2020
17,"PROCASA

",O,,0.0,PROC,74017,2020
18,"BANCO NACION
",O,,0.0,NACIO,74018,2020
19,"UPCN
",O,,0.0,UPCN,74020,2020
20,"ATE
",O,,0.0,ATE,74019,2020
21,REINTEGROS,O,,0.0,REIN,74021,2020
22,OSDE,O,,0.0,OSDE,74022,2020
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2020
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2020
25,BANCO MACRO,O,,0.0,MACRO,74027,2020
784,SUSS,I,2.0,0.0,SUSS.,74023,2020
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2020
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2021
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2021
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2021
4,Garantia,O,,0.0,GARAN,71001,2021
5,"Sindicato
",O,,0.0,SIND,74009,2021
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2021
7,Embargos,O,,0.0,EMBA,74003,2021
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2021
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2021
10,"APORTE PJ
",O,,0.0,PJ,74012,2021
11,"APORTE UCR
",O,,0.0,UCR,74011,2021
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2021
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2021
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2021
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2021
16,"F.O.S.
",O,,0.0,FOS,74013,2021
17,"PROCASA

",O,,0.0,PROC,74017,2021
18,"BANCO NACION
",O,,0.0,NACIO,74018,2021
19,"UPCN
",O,,0.0,UPCN,74020,2021
20,"ATE
",O,,0.0,ATE,74019,2021
21,REINTEGROS,O,,0.0,REIN,74021,2021
22,OSDE,O,,0.0,OSDE,74022,2021
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2021
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2021
25,BANCO MACRO,O,,0.0,MACRO,74027,2021
784,SUSS,I,2.0,0.0,SUSS.,74023,2021
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2021
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2022
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2022
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2022
4,Garantia,O,,0.0,GARAN,71001,2022
5,"Sindicato
",O,,0.0,SIND,74009,2022
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2022
7,Embargos,O,,0.0,EMBA,74003,2022
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2022
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2022
10,"APORTE PJ
",O,,0.0,PJ,74012,2022
11,"APORTE UCR
",O,,0.0,UCR,74011,2022
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2022
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2022
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2022
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2022
16,"F.O.S.
",O,,0.0,FOS,74013,2022
17,"PROCASA

",O,,0.0,PROC,74017,2022
18,"BANCO NACION
",O,,0.0,NACIO,74018,2022
19,"UPCN
",O,,0.0,UPCN,74020,2022
20,"ATE
",O,,0.0,ATE,74019,2022
21,REINTEGROS,O,,0.0,REIN,74021,2022
22,OSDE,O,,0.0,OSDE,74022,2022
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2022
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2022
25,BANCO MACRO,O,,0.0,MACRO,74027,2022
784,SUSS,I,2.0,0.0,SUSS.,74023,2022
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2022
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2023
20,"ATE
",O,,0.0,ATE,74019,2023
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2023
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2023
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2023
7,Embargos,O,,0.0,EMBA,74003,2023
16,"F.O.S.
",O,,0.0,FOS,74013,2023
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2023
4,Garantia,O,,0.0,GARAN,71001,2023
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2023
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2023
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2023
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2023
25,BANCO MACRO,O,,0.0,MACRO,74027,2023
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2023
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2023
18,"BANCO NACION
",O,,0.0,NACIO,74018,2023
22,OSDE,O,,0.0,OSDE,74022,2023
10,"APORTE PJ
",O,,0.0,PJ,74012,2023
17,"PROCASA

",O,,0.0,PROC,74017,2023
21,REINTEGROS,O,,0.0,REIN,74021,2023
5,"Sindicato
",O,,0.0,SIND,74009,2023
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2023
784,SUSS,I,2.0,0.0,SUSS.,74023,2023
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2023
11,"APORTE UCR
",O,,0.0,UCR,74011,2023
19,"UPCN
",O,,0.0,UPCN,74020,2023
318,Profesiones Liberales,I,6.0,0.0,PROFL,74887,2023
26,Loteos Municipales cuotas,O,,,LMC,74888,2024
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2017
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2017
4,Garantia,O,,0.0,GARAN,71001,2017
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2017
5,"Sindicato
",O,,0.0,SIND,74009,2017
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2017
10,"APORTE PJ
",O,,0.0,PJ,74012,2017
11,"APORTE UCR
",O,,0.0,UCR,74011,2017
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2017
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2017
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2017
16,"F.O.S.
",O,,0.0,FOS,74013,2017
17,"PROCASA

",O,,0.0,PROC,74017,2017
18,"BANCO NACION
",O,,0.0,NACIO,74018,2017
20,"ATE
",O,,0.0,ATE,74019,2017
19,"UPCN
",O,,0.0,UPCN,74020,2017
21,REINTEGROS,O,,0.0,REIN,74021,2017
22,OSDE,O,,0.0,OSDE,74022,2017
784,SUSS,I,2.0,0.0,SUSS.,74023,2017
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2017
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2017
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2017
25,BANCO MACRO,O,,0.0,MACRO,74027,2017
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2019
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2019
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2019
4,Garantia,O,,0.0,GARAN,71001,2019
5,"Sindicato
",O,,0.0,SIND,74009,2019
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2019
7,Embargos,O,,0.0,EMBA,74003,2019
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2019
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2019
10,"APORTE PJ
",O,,0.0,PJ,74012,2019
11,"APORTE UCR
",O,,0.0,UCR,74011,2019
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2019
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2019
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2019
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2019
16,"F.O.S.
",O,,0.0,FOS,74013,2019
17,"PROCASA

",O,,0.0,PROC,74017,2019
18,"BANCO NACION
",O,,0.0,NACIO,74018,2019
19,"UPCN
",O,,0.0,UPCN,74020,2019
20,"ATE
",O,,0.0,ATE,74019,2019
21,REINTEGROS,O,,0.0,REIN,74021,2019
22,OSDE,O,,0.0,OSDE,74022,2019
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2019
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2019
25,BANCO MACRO,O,,0.0,MACRO,74027,2019
784,SUSS,I,2.0,0.0,SUSS.,74023,2019
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2019
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2018
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2018
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2018
4,Garantia,O,,0.0,GARAN,71001,2018
5,"Sindicato
",O,,0.0,SIND,74009,2018
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2018
7,Embargos,O,,0.0,EMBA,74003,2018
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2018
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2018
10,"APORTE PJ
",O,,0.0,PJ,74012,2018
11,"APORTE UCR
",O,,0.0,UCR,74011,2018
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2018
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2018
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2018
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2018
16,"F.O.S.
",O,,0.0,FOS,74013,2018
17,"PROCASA

",O,,0.0,PROC,74017,2018
18,"BANCO NACION
",O,,0.0,NACIO,74018,2018
19,"UPCN
",O,,0.0,UPCN,74020,2018
20,"ATE
",O,,0.0,ATE,74019,2018
21,REINTEGROS,O,,0.0,REIN,74021,2018
22,OSDE,O,,0.0,OSDE,74022,2018
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2018
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2018
25,BANCO MACRO,O,,0.0,MACRO,74027,2018
784,SUSS,I,2.0,0.0,SUSS.,74023,2018
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2018
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2003
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2003
7,Embargos,O,,0.0,EMBA,74003,2003
13,retenciones de los serv. seguridad social,I,,,SUSS,74005,2003
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2004
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2004
7,Embargos,O,,0.0,EMBA,74003,2004
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2004
1,RETENCIONES I.P.S.,O,,,IPS,74006,2004
2,RETENCIONES I.O.M.A.,O,,,IOMA,74007,2004
4,Garantia,O,,,GARAN,71001,2004
8,RETENCIONES CAJA DE MEDICOS,O,,,CAJA,74008,2004
5,"Sindicato
",O,,,SIND,74009,2004
9,"TASAS MUNCIPALES
",O,,,TASAS,74010,2004
10,"APORTE PJ
",O,,,PJ,74012,2004
11,"APORTE UCR
",O,,,UCR,74011,2004
12,"APORTE ADICIONAL
",O,,,ADIC,74014,2004
14,"CAJA DE AHORRO
",O,,,CAS,74015,2004
15,"PRESTAMO MUTUAL
",O,,,MUTUA,74016,2004
16,"F.O.S.
",O,,,FOS,74013,2004
17,"PROCASA

",O,,,PROC,74017,2004
18,"BANCO NACION
",O,,,NACIO,74018,2004
20,"ATE
",O,,,ATE,74019,2004
19,"UPCN
",O,,,UPCN,74020,2004
21,REINTEGROS,O,,,REIN,74021,2004
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2005
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2005
7,Embargos,O,,0.0,EMBA,74003,2005
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2005
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2005
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2005
4,Garantia,O,,0.0,GARAN,71001,2005
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2005
5,"Sindicato
",O,,0.0,SIND,74009,2005
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2005
10,"APORTE PJ
",O,,0.0,PJ,74012,2005
11,"APORTE UCR
",O,,0.0,UCR,74011,2005
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2005
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2005
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2005
16,"F.O.S.
",O,,0.0,FOS,74013,2005
17,"PROCASA

",O,,0.0,PROC,74017,2005
18,"BANCO NACION
",O,,0.0,NACIO,74018,2005
20,"ATE
",O,,0.0,ATE,74019,2005
19,"UPCN
",O,,0.0,UPCN,74020,2005
21,REINTEGROS,O,,0.0,REIN,74021,2005
22,OSDE,O,,,OSDE,74022,2005
784,SUSS,I,2.0,0.0,SUSS.,74023,2005
23,BANCO PATAGONIA,O,,,BCOPA,74024,2005
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2006
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2006
7,Embargos,O,,0.0,EMBA,74003,2006
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2006
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2006
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2006
4,Garantia,O,,0.0,GARAN,71001,2006
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2006
5,"Sindicato
",O,,0.0,SIND,74009,2006
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2006
10,"APORTE PJ
",O,,0.0,PJ,74012,2006
11,"APORTE UCR
",O,,0.0,UCR,74011,2006
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2006
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2006
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2006
16,"F.O.S.
",O,,0.0,FOS,74013,2006
17,"PROCASA

",O,,0.0,PROC,74017,2006
18,"BANCO NACION
",O,,0.0,NACIO,74018,2006
20,"ATE
",O,,0.0,ATE,74019,2006
19,"UPCN
",O,,0.0,UPCN,74020,2006
21,REINTEGROS,O,,0.0,REIN,74021,2006
22,OSDE,O,,0.0,OSDE,74022,2006
784,SUSS,I,2.0,0.0,SUSS.,74023,2006
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2006
24,MUTUAL SINDICATO,O,,,MUTU,74025,2006
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2007
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2007
7,Embargos,O,,0.0,EMBA,74003,2007
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2007
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2007
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2007
4,Garantia,O,,0.0,GARAN,71001,2007
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2007
5,"Sindicato
",O,,0.0,SIND,74009,2007
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2007
10,"APORTE PJ
",O,,0.0,PJ,74012,2007
11,"APORTE UCR
",O,,0.0,UCR,74011,2007
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2007
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2007
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2007
16,"F.O.S.
",O,,0.0,FOS,74013,2007
17,"PROCASA

",O,,0.0,PROC,74017,2007
18,"BANCO NACION
",O,,0.0,NACIO,74018,2007
20,"ATE
",O,,0.0,ATE,74019,2007
19,"UPCN
",O,,0.0,UPCN,74020,2007
21,REINTEGROS,O,,0.0,REIN,74021,2007
22,OSDE,O,,0.0,OSDE,74022,2007
784,SUSS,I,2.0,0.0,SUSS.,74023,2007
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2007
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2007
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2008
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2008
7,Embargos,O,,0.0,EMBA,74003,2008
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2008
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2008
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2008
4,Garantia,O,,0.0,GARAN,71001,2008
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2008
5,"Sindicato
",O,,0.0,SIND,74009,2008
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2008
10,"APORTE PJ
",O,,0.0,PJ,74012,2008
11,"APORTE UCR
",O,,0.0,UCR,74011,2008
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2008
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2008
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2008
16,"F.O.S.
",O,,0.0,FOS,74013,2008
17,"PROCASA

",O,,0.0,PROC,74017,2008
18,"BANCO NACION
",O,,0.0,NACIO,74018,2008
20,"ATE
",O,,0.0,ATE,74019,2008
19,"UPCN
",O,,0.0,UPCN,74020,2008
21,REINTEGROS,O,,0.0,REIN,74021,2008
22,OSDE,O,,0.0,OSDE,74022,2008
784,SUSS,I,2.0,0.0,SUSS.,74023,2008
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2008
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2008
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2009
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2009
7,Embargos,O,,0.0,EMBA,74003,2009
