CODIGO,DESCRIPCION,TIPO_DEDUC,PORCENTAJE,SALDO,DECRIPCION_AB,CODIGO_AXT,EJERCICIO
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2009
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2009
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2009
4,Garantia,O,,0.0,GARAN,71001,2009
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2009
5,"Sindicato
",O,,0.0,SIND,74009,2009
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2009
10,"APORTE PJ
",O,,0.0,PJ,74012,2009
11,"APORTE UCR
",O,,0.0,UCR,74011,2009
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2009
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2009
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2009
16,"F.O.S.
",O,,0.0,FOS,74013,2009
17,"PROCASA

",O,,0.0,PROC,74017,2009
18,"BANCO NACION
",O,,0.0,NACIO,74018,2009
20,"ATE
",O,,0.0,ATE,74019,2009
19,"UPCN
",O,,0.0,UPCN,74020,2009
21,REINTEGROS,O,,0.0,REIN,74021,2009
22,OSDE,O,,0.0,OSDE,74022,2009
784,SUSS,I,2.0,0.0,SUSS.,74023,2009
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2009
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2009
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2009
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2010
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2010
7,Embargos,O,,0.0,EMBA,74003,2010
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2010
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2010
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2010
4,Garantia,O,,0.0,GARAN,71001,2010
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2010
5,"Sindicato
",O,,0.0,SIND,74009,2010
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2010
10,"APORTE PJ
",O,,0.0,PJ,74012,2010
11,"APORTE UCR
",O,,0.0,UCR,74011,2010
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2010
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2010
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2010
16,"F.O.S.
",O,,0.0,FOS,74013,2010
17,"PROCASA

",O,,0.0,PROC,74017,2010
18,"BANCO NACION
",O,,0.0,NACIO,74018,2010
20,"ATE
",O,,0.0,ATE,74019,2010
19,"UPCN
",O,,0.0,UPCN,74020,2010
21,REINTEGROS,O,,0.0,REIN,74021,2010
22,OSDE,O,,0.0,OSDE,74022,2010
784,SUSS,I,2.0,0.0,SUSS.,74023,2010
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2010
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2010
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2010
888,Tasa Municipal,I,,,TMUNI,74888,2009
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2011
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2011
7,Embargos,O,,0.0,EMBA,74003,2011
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2011
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2011
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2011
4,Garantia,O,,0.0,GARAN,71001,2011
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2011
5,"Sindicato
",O,,0.0,SIND,74009,2011
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2011
10,"APORTE PJ
",O,,0.0,PJ,74012,2011
11,"APORTE UCR
",O,,0.0,UCR,74011,2011
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2011
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2011
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2011
16,"F.O.S.
",O,,0.0,FOS,74013,2011
17,"PROCASA

",O,,0.0,PROC,74017,2011
18,"BANCO NACION
",O,,0.0,NACIO,74018,2011
20,"ATE
",O,,0.0,ATE,74019,2011
19,"UPCN
",O,,0.0,UPCN,74020,2011
21,REINTEGROS,O,,0.0,REIN,74021,2011
22,OSDE,O,,0.0,OSDE,74022,2011
784,SUSS,I,2.0,0.0,SUSS.,74023,2011
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2011
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2011
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2011
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2012
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2012
7,Embargos,O,,0.0,EMBA,74003,2012
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2012
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2012
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2012
4,Garantia,O,,0.0,GARAN,71001,2012
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2012
5,"Sindicato
",O,,0.0,SIND,74009,2012
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2012
10,"APORTE PJ
",O,,0.0,PJ,74012,2012
11,"APORTE UCR
",O,,0.0,UCR,74011,2012
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2012
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2012
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2012
16,"F.O.S.
",O,,0.0,FOS,74013,2012
17,"PROCASA

",O,,0.0,PROC,74017,2012
18,"BANCO NACION
",O,,0.0,NACIO,74018,2012
20,"ATE
",O,,0.0,ATE,74019,2012
19,"UPCN
",O,,0.0,UPCN,74020,2012
21,REINTEGROS,O,,0.0,REIN,74021,2012
22,OSDE,O,,0.0,OSDE,74022,2012
784,SUSS,I,2.0,0.0,SUSS.,74023,2012
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2012
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2012
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2012
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2013
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2013
7,Embargos,O,,0.0,EMBA,74003,2013
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2013
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2013
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2013
4,Garantia,O,,0.0,GARAN,71001,2013
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2013
5,"Sindicato
",O,,0.0,SIND,74009,2013
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2013
10,"APORTE PJ
",O,,0.0,PJ,74012,2013
11,"APORTE UCR
",O,,0.0,UCR,74011,2013
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2013
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2013
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2013
16,"F.O.S.
",O,,0.0,FOS,74013,2013
17,"PROCASA

",O,,0.0,PROC,74017,2013
18,"BANCO NACION
",O,,0.0,NACIO,74018,2013
20,"ATE
",O,,0.0,ATE,74019,2013
19,"UPCN
",O,,0.0,UPCN,74020,2013
21,REINTEGROS,O,,0.0,REIN,74021,2013
22,OSDE,O,,0.0,OSDE,74022,2013
784,SUSS,I,2.0,0.0,SUSS.,74023,2013
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2013
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2013
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2013
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2014
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2014
7,Embargos,O,,0.0,EMBA,74003,2014
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2014
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2014
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2014
4,Garantia,O,,0.0,GARAN,71001,2014
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2014
5,"Sindicato
",O,,0.0,SIND,74009,2014
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2014
10,"APORTE PJ
",O,,0.0,PJ,74012,2014
11,"APORTE UCR
",O,,0.0,UCR,74011,2014
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2014
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2014
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2014
16,"F.O.S.
",O,,0.0,FOS,74013,2014
17,"PROCASA

",O,,0.0,PROC,74017,2014
18,"BANCO NACION
",O,,0.0,NACIO,74018,2014
20,"ATE
",O,,0.0,ATE,74019,2014
19,"UPCN
",O,,0.0,UPCN,74020,2014
21,REINTEGROS,O,,0.0,REIN,74021,2014
22,OSDE,O,,0.0,OSDE,74022,2014
784,SUSS,I,2.0,0.0,SUSS.,74023,2014
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2014
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2014
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2014
25,BANCO MACRO,O,,,MACRO,74027,2014
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2015
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2015
7,Embargos,O,,0.0,EMBA,74003,2015
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2015
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2015
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2015
4,Garantia,O,,0.0,GARAN,71001,2015
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2015
5,"Sindicato
",O,,0.0,SIND,74009,2015
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2015
10,"APORTE PJ
",O,,0.0,PJ,74012,2015
11,"APORTE UCR
",O,,0.0,UCR,74011,2015
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2015
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2015
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2015
16,"F.O.S.
",O,,0.0,FOS,74013,2015
17,"PROCASA

",O,,0.0,PROC,74017,2015
18,"BANCO NACION
",O,,0.0,NACIO,74018,2015
20,"ATE
",O,,0.0,ATE,74019,2015
19,"UPCN
",O,,0.0,UPCN,74020,2015
21,REINTEGROS,O,,0.0,REIN,74021,2015
22,OSDE,O,,0.0,OSDE,74022,2015
784,SUSS,I,2.0,0.0,SUSS.,74023,2015
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2015
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2015
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2015
25,BANCO MACRO,O,,0.0,MACRO,74027,2015
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2016
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2016
7,Embargos,O,,0.0,EMBA,74003,2016
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2016
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2016
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2016
4,Garantia,O,,0.0,GARAN,71001,2016
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2016
5,"Sindicato
",O,,0.0,SIND,74009,2016
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2016
10,"APORTE PJ
",O,,0.0,PJ,74012,2016
11,"APORTE UCR
",O,,0.0,UCR,74011,2016
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2016
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2016
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2016
16,"F.O.S.
",O,,0.0,FOS,74013,2016
17,"PROCASA

",O,,0.0,PROC,74017,2016
18,"BANCO NACION
",O,,0.0,NACIO,74018,2016
20,"ATE
",O,,0.0,ATE,74019,2016
19,"UPCN
",O,,0.0,UPCN,74020,2016
21,REINTEGROS,O,,0.0,REIN,74021,2016
22,OSDE,O,,0.0,OSDE,74022,2016
784,SUSS,I,2.0,0.0,SUSS.,74023,2016
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2016
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2016
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2016
25,BANCO MACRO,O,,0.0,MACRO,74027,2016
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2017
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2017
7,Embargos,O,,0.0,EMBA,74003,2017
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2017
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2024
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2024
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2024
4,Garantia,O,,0.0,GARAN,71001,2024
5,"Sindicato
",O,,0.0,SIND,74009,2024
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2024
7,Embargos,O,,0.0,EMBA,74003,2024
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2024
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2024
10,"APORTE PJ
",O,,0.0,PJ,74012,2024
11,"APORTE UCR
",O,,0.0,UCR,74011,2024
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2024
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2024
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2024
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2024
16,"F.O.S.
",O,,0.0,FOS,74013,2024
17,"PROCASA

",O,,0.0,PROC,74017,2024
18,"BANCO NACION
",O,,0.0,NACIO,74018,2024
19,"UPCN
",O,,0.0,UPCN,74020,2024
20,"ATE
",O,,0.0,ATE,74019,2024
21,REINTEGROS,O,,0.0,REIN,74021,2024
22,OSDE,O,,0.0,OSDE,74022,2024
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2024
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2024
25,BANCO MACRO,O,,0.0,MACRO,74027,2024
318,Profesiones Liberales,I,6.0,0.0,PROFL,74887,2024
784,SUSS,I,2.0,0.0,SUSS.,74023,2024
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2024
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2025
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2025
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2025
4,Garantia,O,,0.0,GARAN,71001,2025
5,"Sindicato
",O,,0.0,SIND,74009,2025
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2025
7,Embargos,O,,0.0,EMBA,74003,2025
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2025
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2025
10,"APORTE PJ
",O,,0.0,PJ,74012,2025
11,"APORTE UCR
",O,,0.0,UCR,74011,2025
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2025
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2025
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2025
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2025
16,"F.O.S.
",O,,0.0,FOS,74013,2025
17,"PROCASA

",O,,0.0,PROC,74017,2025
18,"BANCO NACION
",O,,0.0,NACIO,74018,2025
19,"UPCN
",O,,0.0,UPCN,74020,2025
20,"ATE
",O,,0.0,ATE,74019,2025
21,REINTEGROS,O,,0.0,REIN,74021,2025
22,OSDE,O,,0.0,OSDE,74022,2025
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2025
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2025
25,BANCO MACRO,O,,0.0,MACRO,74027,2025
26,Loteos Municipales cuotas,O,,0.0,LMC,74888,2025
318,Profesiones Liberales,I,6.0,0.0,PROFL,74887,2025
784,SUSS,I,2.0,0.0,SUSS.,74023,2025
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2025
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2026
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2026
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2026
4,Garantia,O,,0.0,GARAN,71001,2026
5,"Sindicato
",O,,0.0,SIND,74009,2026
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2026
7,Embargos,O,,0.0,EMBA,74003,2026
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2026
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2026
10,"APORTE PJ
",O,,0.0,PJ,74012,2026
11,"APORTE UCR
",O,,0.0,UCR,74011,2026
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2026
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2026
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2026
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2026
16,"F.O.S.
",O,,0.0,FOS,74013,2026
17,"PROCASA

",O,,0.0,PROC,74017,2026
18,"BANCO NACION
",O,,0.0,NACIO,74018,2026
19,"UPCN
",O,,0.0,UPCN,74020,2026
20,"ATE
",O,,0.0,ATE,74019,2026
21,REINTEGROS,O,,0.0,REIN,74021,2026
22,OSDE,O,,0.0,OSDE,74022,2026
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2026
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2026
25,BANCO MACRO,O,,0.0,MACRO,74027,2026
26,Loteos Municipales cuotas,O,,0.0,LMC,74888,2026
318,Profesiones Liberales,I,6.0,0.0,PROFL,74887,2026
784,SUSS,I,2.0,0.0,SUSS.,74023,2026
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2026
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2020
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2020
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2020
4,Garantia,O,,0.0,GARAN,71001,2020
5,"Sindicato
",O,,0.0,SIND,74009,2020
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2020
7,Embargos,O,,0.0,EMBA,74003,2020
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2020
