ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_META,CODIGO_UM,CANT_EJECUTADO,CANT_ESTIMADO,CANT_PROGRAMADO,CODIGO_PRESTAMO
2007,1110105000,27,0,0,21,20,0,0,20,
2007,1110103000,18,0,0,5,5,0,0,115,
2007,1110103000,19,0,0,3,4,0,0,400,
2007,1110103000,20,0,0,4,7,0,0,36,
2007,1110103000,21,0,0,8,1,0,0,3600,
2007,1110103000,22,0,0,7,6,0,0,1236,
2007,1110109000,28,0,0,15,14,3000,4800,4800,
2007,1110108000,29,0,0,12,11,0,0,4000,
2007,1110110000,30,0,0,13,12,0,0,4000,
2007,1110106000,24,0,0,9,8,0,0,6000,
2007,1110106000,25,0,0,9,8,0,0,240,
2007,1110102000,42,0,0,23,22,0,0,4,
2007,1110104000,16,0,0,2,2,0,0,200000,
2007,1110102000,45,0,0,18,17,0,0,24,
2007,1110102000,45,0,0,15,14,0,0,6000,
2007,1110102000,45,0,0,19,18,0,0,24,
2007,1110102000,45,0,0,20,19,0,0,4,
2007,1110102000,45,0,0,21,20,0,0,12,
2007,1110102000,45,0,0,24,23,0,0,12,
2007,1110104000,17,0,0,12,11,0,0,6000,
2006,1110104000,17,0,0,11,9,0,0,6000,
2007,1110109000,46,0,0,24,23,0,0,24,
2008,1110105000,27,0,0,19,18,0,0,26,
2008,1110105000,27,0,0,15,14,0,0,15000,
2008,1110105000,27,0,0,18,17,0,0,30,
2008,1110105000,27,0,0,20,19,0,0,14,
2008,1110105000,27,0,0,22,21,0,0,85,
2008,1110105000,27,0,0,21,20,0,0,26,
2008,1110103000,18,0,0,5,5,0,0,20,
2008,1110103000,19,0,0,3,4,0,0,600,
2008,1110103000,20,0,0,4,7,0,0,400,
2008,1110103000,21,0,0,8,1,0,0,3600,
2008,1110103000,22,0,0,7,6,0,0,1000,
2008,1110109000,28,0,0,15,14,3000,4800,4800,
2008,1110108000,29,0,0,12,11,0,0,4000,
2008,1110110000,30,0,0,13,12,0,0,4500,
2008,1110106000,24,0,0,9,8,0,0,6000,
2008,1110106000,25,0,0,9,8,0,0,240,
2008,1110105000,27,0,0,26,25,0,0,45,
2008,1110104000,16,0,0,2,2,0,0,300000,
2008,1110105000,27,0,0,27,10,0,0,500,
2008,1110105000,27,0,0,28,10,0,0,1000,
2008,1110105000,27,0,0,9,8,0,0,100,
2008,1110105000,27,0,0,13,12,0,0,400,
2008,1110113000,43,0,0,23,22,0,0,12,
2008,1110104000,17,0,0,12,11,0,0,10000,
2008,1110109000,46,0,0,24,23,0,0,24,
2008,1110113000,42,0,0,25,24,0,0,400,
2009,1110105000,27,0,0,19,18,0,0,26,
2009,1110105000,27,0,0,15,14,0,0,8000,
2009,1110105000,27,0,0,18,17,0,0,30,
2009,1110105000,27,0,0,20,19,0,0,14,
2009,1110105000,27,0,0,22,21,0,0,85,
2009,1110105000,27,0,0,21,20,0,0,26,
2009,1110103000,18,0,0,5,5,0,0,20,
2009,1110103000,19,0,0,3,4,0,0,700,
2009,1110103000,20,0,0,4,7,0,0,400,
2009,1110103000,21,0,0,8,1,0,0,3600,
2009,1110103000,22,0,0,7,6,0,0,1000,
2009,1110109000,28,0,0,15,14,3000,4800,4800,
2009,1110108000,29,0,0,12,11,0,0,4000,
2009,1110110000,30,0,0,13,12,0,0,4500,
2009,1110106000,24,0,0,9,8,0,0,6000,
2009,1110106000,25,0,0,9,8,0,0,320,
2009,1110105000,27,0,0,26,25,0,0,45,
2009,1110104000,16,0,0,2,2,0,0,360000,
2009,1110105000,27,0,0,27,10,0,0,200,
2009,1110105000,27,0,0,28,10,0,0,1000,
2009,1110105000,27,0,0,9,8,0,0,100,
2009,1110108000,45,0,0,29,26,0,0,720,
2009,1110113000,43,0,0,23,22,0,0,12,
2009,1110104000,17,0,0,12,11,0,0,10000,
2009,1110109000,46,0,0,24,23,0,0,30,
2009,1110113000,42,0,0,25,24,0,0,400,
2010,1110105000,27,0,0,19,18,26,26,26,
2010,1110105000,27,0,0,15,14,8000,8000,8000,
2010,1110105000,27,0,0,18,17,30,30,30,
2010,1110105000,27,0,0,20,19,14,14,14,
2010,1110105000,27,0,0,22,21,85,85,85,
2010,1110105000,27,0,0,21,20,26,26,26,
2010,1110103000,18,0,0,5,5,20,20,40,
2010,1110103000,19,0,0,3,4,700,700,740,
2010,1110103000,20,0,0,4,7,400,400,400,
2010,1110103000,21,0,0,8,1,3600,3600,3600,
2010,1110103000,22,0,0,7,6,1000,1000,1000,
2010,1110109000,28,0,0,15,14,3000,4800,4800,
2010,1110108000,29,0,0,12,11,0,0,4000,
2010,1110110000,30,0,0,13,12,0,0,4500,
2010,1110106000,24,0,0,9,8,6000,6000,12000,
2010,1110106000,25,0,0,9,8,320,320,320,
2010,1110105000,27,0,0,26,25,45,45,45,
2010,1110104000,16,0,0,2,2,360000,360000,360000,
2010,1110105000,27,0,0,27,10,200,200,200,
2010,1110105000,27,0,0,28,10,1000,1000,1000,
2010,1110105000,27,0,0,9,8,100,100,100,
2010,1110113000,31,0,0,31,28,0,0,40,
2010,1110113000,43,0,0,23,22,12,12,12,
2010,1110104000,17,0,0,12,11,10000,10000,10000,
2010,1110109000,46,0,0,24,23,0,0,30,
2010,1110113000,42,0,0,25,24,400,400,400,
2010,1110102000,33,0,0,13,12,1000,1000,1000,
2010,1110103000,45,0,0,29,26,720,720,720,
2010,1110103000,26,0,0,30,27,400000,400000,400000,
2010,1110113000,32,0,0,32,29,0,0,4000,
2010,1110112000,33,0,0,33,30,2000,2000,2000,
2011,1110105000,27,0,0,19,18,26,26,26,
2011,1110105000,27,0,0,15,14,8000,8000,8000,
2011,1110105000,27,0,0,18,17,30,30,30,
2011,1110105000,27,0,0,20,19,14,14,14,
2011,1110105000,27,0,0,22,21,85,85,85,
2011,1110105000,27,0,0,21,20,26,26,26,
2011,1110103000,18,0,0,5,5,20,20,40,
2011,1110103000,19,0,0,3,4,700,700,740,
2011,1110103000,20,0,0,4,7,400,400,400,
2011,1110103000,21,0,0,8,1,3600,3600,3600,
2011,1110103000,22,0,0,7,6,1000,1000,1000,
2011,1110109000,28,0,0,15,14,3000,4800,4800,
2011,1110108000,29,0,0,13,12,0,0,4000,
2011,1110110000,30,0,0,13,12,0,0,5000,
2011,1110106000,24,0,0,9,8,6000,6000,12000,
2011,1110106000,25,0,0,9,8,320,320,320,
2011,1110105000,27,0,0,26,25,45,45,45,
2011,1110104000,16,0,0,2,2,360000,360000,360000,
2011,1110105000,27,0,0,27,10,200,200,200,
2011,1110105000,27,0,0,28,10,1000,1000,1000,
2011,1110105000,27,0,0,9,8,100,100,100,
2011,1110113000,31,0,0,31,28,0,0,40,
2011,1110113000,43,0,0,23,22,12,12,12,
2011,1110104000,17,0,0,12,11,10000,10000,10000,
2011,1110109000,46,0,0,24,23,0,0,30,
2011,1110113000,42,0,0,25,24,400,400,400,
2011,1110102000,33,0,0,13,12,1000,1000,1000,
2011,1110103000,45,0,0,29,26,720,720,720,
2011,1110103000,26,0,0,30,27,400000,400000,400000,
2011,1110113000,32,0,0,32,29,0,0,4000,
2011,1110112000,33,0,0,33,30,2000,2000,2000,
2011,1110106000,42,0,0,9,8,2000,2000,2000,
2011,1110104000,62,0,0,34,31,0,0,12,
2012,1110105000,27,0,0,19,18,26,26,26,
2012,1110105000,27,0,0,15,14,8000,8000,8000,
2012,1110105000,27,0,0,18,17,30,30,30,
2012,1110105000,27,0,0,20,19,14,14,14,
2012,1110105000,27,0,0,22,21,85,85,85,
2012,1110105000,27,0,0,21,20,26,26,26,
2012,1110103000,18,0,0,5,5,20,20,40,
2012,1110103000,19,0,0,3,4,700,740,800,
2012,1110103000,20,0,0,4,7,400,400,400,
2012,1110103000,21,0,0,8,1,3600,3600,3600,
2012,1110103000,22,0,0,7,6,1000,1000,1000,
2012,1110109000,28,0,0,15,14,3000,4800,6000,
2012,1110108000,29,0,0,13,12,0,0,5000,
2012,1110110000,30,0,0,13,12,4000,5000,6000,
2012,1110106000,24,0,0,9,8,6000,6000,12000,
2012,1110106000,25,0,0,9,8,180,180,180,
2012,1110105000,27,0,0,26,25,45,45,45,
2012,1110104000,16,0,0,2,2,200000,260000,360000,
2012,1110105000,27,0,0,27,10,200,200,200,
2012,1110105000,27,0,0,28,10,1000,1000,1000,
2012,1110105000,27,0,0,9,8,100,100,100,
2012,1110113000,31,0,0,31,28,0,0,40,
2012,1110113000,43,0,0,23,22,12,12,12,
2012,1110104000,17,0,0,12,11,10000,10000,10000,
2012,1110109000,46,0,0,24,23,30,30,40,
2012,1110113000,42,0,0,25,24,400,400,600,
2012,1110102000,33,0,0,13,12,1000,1000,1000,
2012,1110103000,45,0,0,29,26,720,720,720,
2012,1110103000,26,0,0,30,27,400000,400000,420000,
2012,1110113000,32,0,0,32,29,0,0,4000,
2012,1110112000,33,0,0,33,30,2000,2000,2000,
2012,1110106000,42,0,0,9,8,2000,2000,2000,
2012,1110104000,62,0,0,34,31,9,12,12,
2012,1110113000,47,0,0,35,32,4,4,4,
2013,1110112000,33,0,0,33,30,2000,2000,2000,
2013,1110105000,27,0,0,28,10,1000,1000,1000,
2013,1110105000,27,0,0,27,10,200,200,200,
2013,1110105000,27,0,0,26,25,45,45,48,
2013,1110105000,27,0,0,9,8,100,100,100,
2013,1110105000,27,0,0,22,21,85,85,100,
2013,1110105000,27,0,0,21,20,26,26,28,
2013,1110105000,27,0,0,20,19,14,14,28,
2013,1110105000,27,0,0,19,18,26,26,36,
2013,1110105000,27,0,0,18,17,30,30,40,
2013,1110105000,27,0,0,15,14,8000,8000,8000,
2013,1110104000,16,0,0,2,2,260000,360000,450000,
2013,1110104000,62,0,0,34,31,12,12,18,
2013,1110104000,17,0,0,12,11,10000,10000,10000,
2013,1110108000,29,0,0,13,12,0,0,6000,
2013,1110110000,30,0,0,38,33,1550,1750,1900,
2013,1110110000,30,0,0,39,34,2700,3200,3300,
2013,1110110000,30,0,0,40,35,650,500,800,
2013,1110110000,30,0,0,41,37,30000,27000,40000,
2013,1110106000,24,0,0,9,8,6000,6000,3000,
2013,1110106000,25,0,0,9,8,180,180,300,
2013,1110106000,42,0,0,9,8,2000,2000,2000,
2013,1110103000,18,0,0,5,5,20,40,40,
2013,1110103000,19,0,0,3,4,740,800,800,
2013,1110103000,20,0,0,4,7,400,400,400,
2013,1110103000,21,0,0,8,1,3600,3600,4200,
2013,1110103000,22,0,0,7,6,1000,1000,1000,
2013,1110103000,26,0,0,30,27,400000,420000,460000,
2013,1110103000,45,0,0,29,26,720,720,760,
2013,1110113000,31,0,0,31,28,0,40,50,
2013,1110113000,32,0,0,26,25,0,0,4,
2013,1110113000,32,0,0,32,29,0,4000,4800,
2013,1110113000,42,0,0,25,24,400,600,720,
2013,1110113000,42,0,0,39,34,0,0,200,
2013,1110113000,43,0,0,23,22,12,12,12,
2013,1110113000,47,0,0,35,32,4,4,4,
2014,1110112000,33,0,0,33,30,2000,2000,2000,
2014,1110112000,33,0,0,42,38,2200,2400,2600,
2014,1110110000,30,0,0,41,37,29000,36000,45000,
2014,1110110000,30,0,0,39,34,4100,6000,7000,
2014,1110110000,30,0,0,38,33,1500,1700,1800,
2014,1110110000,30,0,0,40,35,700,1600,2100,
2014,1110106000,24,0,0,9,8,6000,6000,3000,
2014,1110106000,25,0,0,9,8,180,180,300,
2014,1110106000,42,0,0,9,8,2000,2000,2000,
2014,1110108000,29,0,0,13,12,5000,6000,8000,
2014,1110104000,16,0,0,2,2,360000,450000,600000,
2014,1110104000,16,0,0,12,11,10000,10000,10000,
2014,1110104000,16,0,0,34,31,12,18,24,
2014,1110105000,27,0,0,26,25,45,48,50,
2014,1110105000,27,0,0,27,10,200,200,200,
2014,1110105000,27,0,0,28,10,1000,1000,1000,
2014,1110105000,27,0,0,9,8,100,100,100,
2014,1110105000,27,0,0,22,21,85,100,115,
2014,1110105000,27,0,0,21,20,26,28,34,
2014,1110105000,27,0,0,20,19,14,28,32,
2014,1110105000,27,0,0,19,18,26,36,42,
2014,1110105000,27,0,0,18,17,30,40,46,
2014,1110105000,27,0,0,15,14,8000,8000,8000,
2014,1110113000,31,0,0,31,28,40,50,60,
2014,1110113000,32,0,0,32,29,4000,4800,5800,
2014,1110113000,32,0,0,26,25,0,4,15,
2014,1110113000,42,0,0,39,34,0,200,400,
2014,1110113000,42,0,0,25,24,600,720,1200,
2014,1110113000,43,0,0,23,22,12,12,24,
2014,1110113000,47,0,0,35,32,4,4,6,
2014,1110103000,18,0,0,5,5,40,40,40,
2014,1110109000,28,0,0,15,14,6000,6100,6200,
2014,1110103000,19,0,0,3,4,800,800,840,
2014,1110103000,20,0,0,4,7,400,400,400,
2014,1110103000,21,0,0,8,1,3600,4200,4400,
2014,1110103000,22,0,0,7,6,1000,1000,1000,
2014,1110103000,26,0,0,30,27,420,460,480,
2014,1110103000,45,0,0,29,26,720,760,800,
2014,1110104000,17,0,0,12,11,10000,10000,10000,
2014,1110109000,46,0,0,24,23,30,30,50,
2015,1110112000,33,0,0,33,30,2000,2000,2000,
2015,1110112000,33,0,0,42,38,2400,2400,2400,
2015,1110110000,30,0,0,41,37,36000,34000,70000,
2015,1110110000,30,0,0,40,35,1600,355,2200,
2015,1110110000,30,0,0,39,34,6000,5000,7000,
2015,1110110000,30,0,0,38,33,1700,1764,1900,
2015,1110106000,24,0,0,9,8,6000,6000,3500,
2015,1110108000,29,0,0,13,12,6000,8000,10000,
2015,1110109000,28,0,0,15,14,0,6200,6200,
2015,1110109000,46,0,0,24,23,0,50,50,
2015,1110106000,25,0,0,9,8,180,180,300,
2015,1110106000,42,0,0,9,8,2000,2000,2000,
2015,1110105000,27,0,0,26,25,48,50,60,
2015,1110105000,27,0,0,28,10,1000,1000,1000,
2015,1110105000,27,0,0,27,10,200,200,200,
2015,1110105000,27,0,0,9,8,100,100,100,
2015,1110105000,27,0,0,22,21,100,115,125,
2015,1110105000,27,0,0,21,20,28,34,45,
2015,1110105000,27,0,0,20,19,28,32,36,
2015,1110105000,27,0,0,19,18,36,42,50,
2015,1110105000,27,0,0,18,17,40,46,50,
2015,1110105000,27,0,0,15,14,8000,8000,8000,
2015,1110104000,17,0,0,12,11,10000,10000,10000,
2015,1110113000,31,0,0,31,28,50,60,65,
2015,1110113000,32,0,0,32,29,4800,5800,6800,
2015,1110113000,32,0,0,26,25,4,15,20,
2015,1110113000,42,0,0,39,34,200,400,600,
2015,1110113000,42,0,0,25,24,720,1200,1500,
2015,1110113000,43,0,0,23,22,12,24,31,
2015,1110113000,47,0,0,35,32,4,6,8,
2015,1110104000,16,0,0,12,11,10000,10000,10000,
2015,1110104000,16,0,0,34,31,18,24,30,
2015,1110104000,16,0,0,2,2,450000,600000,635000,
2015,1110103000,18,0,0,5,5,40,40,40,
2015,1110103000,19,0,0,3,4,800,840,880,
2015,1110103000,20,0,0,4,7,400,400,400,
2015,1110103000,21,0,0,8,1,4200,4400,4800,
2015,1110103000,22,0,0,7,6,1000,1000,1200,
2015,1110103000,26,0,0,30,27,460,480,500,
2015,1110103000,45,0,0,29,26,760,800,840,
2015,1110102000,33,0,0,19,18,0,0,16,
2017,1110102000,35,0,0,2,2,100,200,300,
2017,1110102000,35,0,0,3,4,0,5,10,
2017,1110102000,35,0,0,28,25,0,2,3,
2017,1110102000,37,0,0,33,9,100,200,300,
2017,1110102000,37,0,0,42,38,500,600,700,
2017,1110103000,48,0,0,5,3,10,15,20,
2017,1110103000,51,0,0,5,5,0,200,300,
2017,1110105000,30,0,0,38,33,0,100,200,
2017,1110103000,51,0,0,17,16,100,200,300,
2017,1110105000,30,0,0,10,25,0,3,3,
2017,1110111000,23,0,0,6,3,0,100,200,
2017,1110115000,36,0,0,43,39,0,100,250,
2018,1110102000,37,0,0,43,39,120,130,140,
2018,1110102000,37,0,0,42,38,400,500,600,
2018,1110102000,35,0,0,17,16,5,10,15,
2018,1110102000,35,0,0,26,25,3,3,4,
2018,1110102000,35,0,0,2,2,400,450,500,
2018,1110102000,37,0,0,11,9,1000,1200,1400,
2018,1110102000,33,0,0,44,40,30,40,50,
2018,1110103000,48,0,0,5,5,200,300,400,
2018,1110104000,18,0,0,2,2,0,350,450,
2018,1110105000,28,0,0,34,27,100,150,200,
2018,1110106000,44,0,0,9,8,2000,2200,2500,
2018,1110106000,43,0,0,9,8,55,60,60,
2018,1110106000,45,0,0,9,8,0,0,700,
2018,1110106000,46,0,0,9,8,800,1500,1900,
2018,1110118000,41,0,0,8,41,48000,50000,55000,
2018,1110118000,44,0,0,7,6,3000,3600,3600,
2018,1110118000,45,0,0,4,7,2700,2780,2820,
2018,1110118000,46,0,0,34,5,65,80,90,
2018,1110116000,43,0,0,17,42,350,400,450,
2018,1110103000,51,0,0,53,51,0,0,20,
2018,1110103000,51,0,0,54,52,0,1000,1500,
2018,1110103000,51,0,0,55,53,0,200,800,
2018,1110103000,51,0,0,56,54,0,500,1500,
2024,1110104000,16,0,0,12,11,10000,10000,10000,
2024,1110104000,16,0,0,34,31,18,24,30,
2024,1110104000,16,0,0,2,2,450000,600000,635000,
2024,1110104000,17,0,0,12,11,10000,10000,10000,
2024,1110106000,24,0,0,9,8,6000,6000,3500,
2024,1110106000,25,0,0,9,8,180,180,300,
2024,1110109000,28,0,0,15,14,0,6200,6200,
