EJERCICIO,DELEG_SOLIC,NRO_SOLIC,NRO_PED,LUG_EMI,JURISDICCION,CODIGO_UE,CODIGO_DEP,FECH_SOLIC,TIPO_REGIS,NRO_ORIG,CODIGO_FF,IMPORTE_TOT,FECH_ENTREGA,FECH_NECESIDAD,FECH_EST_OC,TIPO_DOC,NRO_DOC,ANIO_DOC,COD_LUG_ENT,ESTADO_SOLIC,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,OBSERVACIONES,CANT_IMP,SG_DIFERIDO
2005,1,444,316,GMADA,1110102000,2,JUZFAL,2005-02-22 00:00:00,A,364,110,-1385.0,,,,,0,0,,N,S,2005-02-22 08:16:05,,,,0,N
2005,1,445,437,GMADA,1110103000,3,MANT,2005-02-22 00:00:00,S,0,110,184.0,,,,,0,0,,C,S,2005-02-22 08:58:30,,,,1,N
2005,1,446,434,GMADA,1110103000,3,CEMEN,2005-02-22 00:00:00,S,0,110,4980.4,,,,,0,0,,C,S,2005-02-22 09:00:55,,,,1,N
2005,1,447,431,GMADA,1110103000,3,MANT,2005-02-22 00:00:00,S,0,110,230.0,,,,,0,0,,C,S,2005-02-22 09:02:05,,,,1,N
2005,1,448,430,GMADA,1110103000,3,OPP,2005-02-22 00:00:00,S,0,110,570.0,,,,,0,0,,C,S,2005-02-22 09:09:09,,,,1,N
2005,1,449,375,GMADA,1110109000,13,DEP,2005-02-22 00:00:00,S,0,110,233.0,,,,,0,0,,C,S,2005-02-22 09:11:19,,,,1,N
2005,1,450,435,GMADA,1110103000,3,OPP,2005-02-22 00:00:00,S,0,110,1236.07,,,,,0,0,,C,S,2005-02-22 09:14:40,,,,1,N
2005,1,451,316,GMADA,1110102000,2,JUZFAL,2005-02-22 00:00:00,S,0,110,460.0,,,,,0,0,,C,S,2005-02-22 11:34:19,,,,1,N
2005,1,452,462,GMADA,1110102000,2,COMP,2005-02-23 00:00:00,S,0,110,337.12,,,,,0,0,,C,S,2005-02-23 07:34:14,,,,1,N
2005,1,453,303,GMADA,1110103000,3,CASER,2005-02-23 00:00:00,S,0,132,55000.0,,,,,0,0,,C,S,2005-02-23 08:05:17,,,,1,N
2005,1,454,450,GMADA,1110104000,5,HOSP,2005-02-23 00:00:00,S,0,110,335.25,,,,,0,0,,C,S,2005-02-23 08:11:35,,,,1,N
2005,1,455,444,GMADA,1110102000,2,MAYOR,2005-02-23 00:00:00,S,0,110,150.0,,,,,0,0,,C,S,2005-02-23 08:12:23,,,,1,N
2005,1,456,438,GMADA,1110111000,3,CAS,2005-02-23 00:00:00,S,0,131,1362.25,,,,,0,0,,C,S,2005-02-23 08:13:09,,,,1,N
2005,1,457,446,GMADA,1110111000,3,CAS,2005-02-23 00:00:00,S,0,131,2138.25,,,,,0,0,,C,S,2005-02-23 08:13:53,,,,1,N
2005,1,458,433,GMADA,1110111000,3,CAS,2005-02-23 00:00:00,S,0,131,3852.5,,,,,0,0,,C,S,2005-02-23 08:14:47,,,,1,N
2005,1,459,443,GMADA,1110111000,3,CAS,2005-02-23 00:00:00,S,0,131,1874.77,,,,,0,0,,C,S,2005-02-23 08:15:30,,,,1,N
2005,1,460,441,GMADA,1110111000,3,CAS,2005-02-23 00:00:00,S,0,131,165.0,,,,,0,0,,C,S,2005-02-23 08:16:13,,,,1,N
2005,1,461,442,GMADA,1110102000,2,MAYOR,2005-02-23 00:00:00,S,0,110,144.0,,,,,0,0,,C,S,2005-02-23 08:17:16,,,,1,N
2005,1,462,461,GMADA,1110111000,3,CAS,2005-02-23 00:00:00,S,0,131,2180.0,,,,,0,0,,C,S,2005-02-23 08:18:00,,,,1,N
2005,1,463,458,GMADA,1110111000,3,CAS,2005-02-23 00:00:00,S,0,131,1580.0,,,,,0,0,,C,S,2005-02-23 08:18:56,,,,1,N
2005,1,464,456,GMADA,1110111000,3,CAS,2005-02-23 00:00:00,S,0,131,114.0,,,,,0,0,,C,S,2005-02-23 08:19:42,,,,1,N
2005,1,465,449,GMADA,1110103000,3,SURB,2005-02-23 00:00:00,S,0,110,1314.0,,,,,0,0,,C,S,2005-02-23 08:20:57,,,,1,N
2005,1,466,448,GMADA,1110101000,1,INT,2005-02-23 00:00:00,S,0,110,179.0,,,,,0,0,,C,S,2005-02-23 09:18:39,,,,1,N
2005,1,467,451,GMADA,1110104000,5,HOSP,2005-02-23 00:00:00,S,0,110,2208.76,,,,,0,0,,C,S,2005-02-23 09:19:07,,,,1,N
2005,1,468,452,GMADA,1110104000,5,HOSP,2005-02-23 00:00:00,S,0,110,400.0,,,,,0,0,,C,S,2005-02-23 09:19:32,,,,1,N
2005,1,469,467,GMADA,1110103000,3,OPP,2005-02-23 00:00:00,S,0,110,180.0,,,,,0,0,,C,S,2005-02-23 10:49:09,,,,1,N
2005,1,470,469,GMADA,1110102000,2,CO,2005-02-23 00:00:00,S,0,132,270.0,,,,,0,0,,C,S,2005-02-24 10:07:25,,,,1,N
2005,1,471,447,GMADA,1110102000,2,RECAUD,2005-02-23 00:00:00,S,0,110,280.0,,,,,0,0,,C,S,2005-02-23 11:48:04,,,,1,N
2005,1,472,453,GMADA,1110104000,5,HOSP,2005-02-23 00:00:00,S,0,110,845.0,,,,,0,0,,A,S,2005-02-24 07:52:59,2005-02-24 07:52:59,ERROR,,1,N
2005,1,473,464,GMADA,1110103000,3,OPP,2005-02-23 00:00:00,S,0,110,740.0,,,,,0,0,,C,S,2005-02-23 11:59:53,,,,1,N
2005,1,474,471,GMADA,1110105000,6,CULTUR,2005-02-23 00:00:00,S,0,110,212.79,,,,,0,0,,C,S,2005-02-23 12:00:31,,,,1,N
2005,1,475,463,GMADA,1110103000,3,SURB,2005-02-23 00:00:00,S,0,110,652.0,,,,,0,0,,C,S,2005-02-23 12:00:55,,,,1,N
2005,1,476,468,GMADA,1110103000,3,MANT,2005-02-23 00:00:00,S,0,110,599.29,,,,,0,0,,C,S,2005-02-23 12:01:16,,,,1,N
2005,1,477,453,GMADA,1110104000,5,HOSP,2005-02-24 00:00:00,A,472,110,-845.0,,,,,0,0,,N,S,2005-02-24 07:52:59,,,,0,N
2005,1,478,466,GMADA,1110103000,3,OPP,2005-02-24 00:00:00,S,0,110,3258.9,,,,,0,0,,C,S,2005-02-24 09:49:04,,,,1,N
2005,1,479,465,GMADA,1110103000,3,OPP,2005-02-24 00:00:00,S,0,110,1550.0,,,,,0,0,,C,S,2005-02-24 09:50:03,,,,1,N
2005,1,480,470,GMADA,1110102000,2,FINA,2005-02-24 00:00:00,S,0,110,350.0,,,,,0,0,,C,S,2005-02-24 10:04:17,,,,1,N
2005,1,481,479,GMADA,1110102000,2,MAYOR,2005-02-24 00:00:00,S,0,110,470.0,,,,,0,0,,A,S,2005-03-07 10:19:18,2005-03-07 10:19:18,ERROR,,1,N
2005,1,482,475,GMADA,1110103000,3,RESID,2005-02-24 00:00:00,S,0,110,7793.99,,,,,0,0,,C,S,2005-02-24 10:27:06,,,,1,N
2005,1,483,439,GMADA,1110106000,7,ACCSOC,2005-02-25 00:00:00,S,0,132,819.0,,,,,0,0,,C,S,2005-02-25 12:41:53,,,,1,N
2005,1,484,440,GMADA,1110106000,7,ACCSOC,2005-02-25 00:00:00,S,0,132,4068.5,,,,,0,0,,C,S,2005-02-25 12:40:46,,,,1,N
2005,1,485,473,GMADA,1110104000,5,HOSP,2005-02-25 00:00:00,S,0,110,3000.0,,,,,0,0,,C,S,2005-02-25 12:21:19,,,,1,N
2005,1,486,478,GMADA,1110104000,5,HOSP,2005-02-25 00:00:00,S,0,110,1102.2,,,,,0,0,,A,S,2005-03-03 12:02:43,2005-03-03 12:02:43,ERROR,,1,N
2005,1,487,476,GMADA,1110104000,5,HOSP,2005-02-25 00:00:00,S,0,110,336.09,,,,,0,0,,C,S,2005-02-25 12:38:09,,,,1,N
2005,1,488,453,GMADA,1110104000,5,HOSP,2005-02-25 00:00:00,S,0,110,845.0,,,,,0,0,,C,S,2005-02-25 12:39:22,,,,1,N
2005,1,489,477,GMADA,1110104000,5,HOSP,2005-02-25 00:00:00,S,0,110,2329.25,,,,,0,0,,C,S,2005-02-25 12:40:38,,,,1,N
2005,1,490,474,GMADA,1110104000,5,HOSP,2005-02-25 00:00:00,S,0,110,3179.19,,,,,0,0,,C,S,2005-02-25 12:42:20,,,,1,N
2005,1,491,485,GMADA,1110111000,3,CAS,2005-02-28 00:00:00,S,0,131,695.0,,,,,0,0,,C,S,2005-02-28 08:06:36,,,,1,N
2005,1,492,455,GMADA,1110102000,2,COMP,2005-02-28 00:00:00,S,0,110,136.25,,,,,0,0,,C,S,2005-02-28 08:15:17,,,,1,N
2005,1,493,394,GMADA,1110104000,5,HOSP,2005-02-28 00:00:00,A,353,110,-335.23,,,,,0,0,,N,S,2005-02-28 08:57:05,,,,0,N
2005,1,494,483,GMADA,1110108000,14,VIV,2005-02-28 00:00:00,S,0,110,650.0,,,,,0,0,,C,S,2005-02-28 09:18:49,,,,1,N
2005,1,495,486,GMADA,1110108000,14,MED,2005-02-28 00:00:00,S,0,110,95.0,,,,,0,0,,C,S,2005-02-28 09:42:38,,,,1,N
2005,1,496,480,GMADA,1110108000,14,PROD,2005-02-28 00:00:00,S,0,110,158.0,,,,,0,0,,C,S,2005-02-28 09:43:17,,,,1,N
2005,1,497,481,GMADA,1110108000,14,PROD,2005-02-28 00:00:00,S,0,110,3000.0,,,,,0,0,,C,S,2005-02-28 09:51:22,,,,1,N
2005,1,498,318,GMADA,1110102000,2,JUZFAL,2005-02-28 00:00:00,S,0,110,420.0,,,,,0,0,,C,S,2005-02-28 11:32:12,,,,1,N
2005,1,499,489,GMADA,1110102000,2,COMP,2005-02-28 00:00:00,S,0,110,148.48,,,,,0,0,,C,S,2005-02-28 12:58:09,,,,1,N
2005,1,500,499,GMADA,1110102000,2,COMP,2005-03-01 00:00:00,S,0,110,1440.0,,,,,0,0,,C,S,2005-03-01 09:03:49,,,,1,N
2005,1,501,502,GMADA,1110102000,2,COMP,2005-03-01 00:00:00,S,0,110,115.97,,,,,0,0,,C,S,2005-03-01 10:12:22,,,,1,N
2005,1,502,492,GMADA,1110103000,3,SURB,2005-03-01 00:00:00,S,0,110,768.0,,,,,0,0,,C,S,2005-03-01 10:12:48,,,,1,N
2005,1,503,491,GMADA,1110103000,3,SURB,2005-03-01 00:00:00,S,0,110,459.0,,,,,0,0,,C,S,2005-03-01 10:13:44,,,,1,N
2005,1,504,494,GMADA,1110103000,3,OPP,2005-03-01 00:00:00,S,0,132,1000.0,,,,,0,0,,C,S,2005-03-01 10:30:02,,,,1,N
2005,1,505,493,GMADA,1110103000,3,OPP,2005-03-01 00:00:00,S,0,132,1000.0,,,,,0,0,,C,S,2005-03-01 10:31:07,,,,1,N
2005,1,506,497,GMADA,1110103000,3,OPP,2005-03-01 00:00:00,S,0,132,12000.0,,,,,0,0,,C,S,2005-03-01 10:32:33,,,,1,N
2005,1,507,495,GMADA,1110102000,2,MAYOR,2005-03-01 00:00:00,S,0,110,104.0,,,,,0,0,,C,S,2005-03-01 12:17:00,,,,1,N
2005,1,508,490,GMADA,1110103000,3,CEMEN,2005-03-01 00:00:00,S,0,110,389.95,,,,,0,0,,C,S,2005-03-01 12:17:34,,,,1,N
2005,1,509,515,GMADA,1110103000,3,SURB,2005-03-02 00:00:00,S,0,110,470.0,,,,,0,0,,C,S,2005-03-02 11:20:30,,,,1,N
2005,1,510,507,GMADA,1110103000,3,MANT,2005-03-02 00:00:00,S,0,110,383.8,,,,,0,0,,C,S,2005-03-02 11:21:16,,,,1,N
2005,1,511,498,GMADA,1110102000,2,JUZFAL,2005-03-02 00:00:00,S,0,110,1375.0,,,,,0,0,,C,S,2005-03-02 11:21:52,,,,1,N
2005,1,512,511,GMADA,1110103000,3,OPP,2005-03-02 00:00:00,S,0,110,234.0,,,,,0,0,,C,S,2005-03-02 11:34:17,,,,1,N
2005,1,513,505,GMADA,1110103000,3,OPP,2005-03-02 00:00:00,S,0,132,959.5,,,,,0,0,,C,S,2005-03-02 11:34:50,,,,1,N
2005,1,514,523,GMADA,1110103000,3,CEMEN,2005-03-02 00:00:00,S,0,110,950.0,,,,,0,0,,C,S,2005-03-02 12:30:39,,,,1,N
2005,1,515,522,GMADA,1110103000,3,SURB,2005-03-02 00:00:00,S,0,110,1642.0,,,,,0,0,,C,S,2005-03-02 12:31:13,,,,1,N
2005,1,516,520,GMADA,1110103000,3,MANT,2005-03-02 00:00:00,S,0,110,301.0,,,,,0,0,,C,S,2005-03-02 12:32:21,,,,1,N
2005,1,517,517,GMADA,1110104000,5,HOSP,2005-03-03 00:00:00,S,0,110,150.0,,,,,0,0,,C,S,2005-03-03 08:40:29,,,,1,N
2005,1,518,519,GMADA,1110104000,5,HOSP,2005-03-03 00:00:00,S,0,110,1288.0,,,,,0,0,,C,S,2005-03-03 08:40:25,,,,1,N
2005,1,519,529,GMADA,1110103000,3,RESID,2005-03-03 00:00:00,S,0,110,11304.6,,,,,0,0,,C,S,2005-03-03 09:05:15,,,,1,N
2005,1,1129,1048,GMADA,1110106000,7,ACCSOC,2005-05-16 00:00:00,S,0,132,6290.0,,,,,0,0,,C,S,2005-05-16 12:16:36,,,,1,N
2005,1,1130,1056,GMADA,1110106000,7,ACCSOC,2005-05-16 00:00:00,S,0,132,2100.0,,,,,0,0,,C,S,2005-05-16 12:17:10,,,,1,N
2005,1,1131,1083,GMADA,1110108000,14,PROD,2005-05-16 00:00:00,S,0,110,135.0,,,,,0,0,,C,S,2005-05-16 12:17:47,,,,1,N
2005,1,1132,952,GMADA,1110108000,14,PROD,2005-05-16 00:00:00,S,0,132,3400.0,,,,,0,0,,C,S,2005-05-16 12:19:23,,,,1,N
2005,1,1133,1081,GMADA,1110108000,14,PROD,2005-05-16 00:00:00,S,0,110,263.0,,,,,0,0,,C,S,2005-05-16 12:20:00,,,,1,N
2005,1,1134,1047,GMADA,1110102000,2,CO,2005-05-16 00:00:00,S,0,132,534.0,,,,,0,0,,C,S,2005-05-16 12:20:29,,,,1,N
2005,1,1135,1050,GMADA,1110102000,2,CO,2005-05-16 00:00:00,S,0,132,308.0,,,,,0,0,,A,S,2005-05-27 08:24:15,2005-05-27 08:24:15,ERROR,,1,N
2005,1,1136,1016,GMADA,1110102000,2,CO,2005-05-16 00:00:00,S,0,132,1650.0,,,,,0,0,,C,S,2005-05-16 12:32:49,,,,1,N
2005,1,1137,942,GMADA,1110102000,2,GOBHAC,2005-05-16 00:00:00,S,0,110,1689.18,,,,,0,0,,A,S,2005-05-24 12:45:24,2005-05-24 12:45:24,ERROR,,1,N
2005,1,1138,941,GMADA,1110102000,2,GOBHAC,2005-05-16 00:00:00,S,0,110,940.0,,,,,0,0,,C,S,2005-05-16 12:34:34,,,,1,N
2005,1,1139,940,GMADA,1110102000,2,GOBHAC,2005-05-16 00:00:00,S,0,110,2000.0,,,,,0,0,,C,S,2005-05-16 12:38:13,,,,2,N
2005,1,1140,1052,GMADA,1110102000,2,CO,2005-05-16 00:00:00,S,0,132,270.0,,,,,0,0,,C,S,2005-05-16 12:39:01,,,,1,N
2005,1,1141,1072,GMADA,1110104000,5,HOSP,2005-05-17 00:00:00,S,0,110,1220.65,,,,,0,0,,C,S,2005-05-17 07:44:06,,,,1,N
2005,1,1142,1103,GMADA,1110111000,3,CAS,2005-05-17 00:00:00,S,0,131,743.0,,,,,0,0,,C,S,2005-05-17 07:45:26,,,,1,N
2005,1,1143,978,GMADA,1110104000,5,HOSP,2005-05-17 00:00:00,S,0,110,1115.5,,,,,0,0,,C,S,2005-05-17 07:46:08,,,,1,N
2005,1,1144,1099,GMADA,1110104000,5,HOSP,2005-05-17 00:00:00,S,0,110,973.6,,,,,0,0,,C,S,2005-05-17 07:46:59,,,,1,N
2005,1,1145,1025,GMADA,1110104000,5,HOSP,2005-05-17 00:00:00,S,0,110,280.15,,,,,0,0,,C,S,2005-05-17 07:48:28,,,,1,N
2005,1,1146,1026,GMADA,1110104000,5,HOSP,2005-05-17 00:00:00,S,0,110,135.8,,,,,0,0,,C,S,2005-05-17 07:49:23,,,,1,N
2005,1,1147,1098,GMADA,1110104000,5,HOSP,2005-05-17 00:00:00,S,0,110,731.0,,,,,0,0,,C,S,2005-05-17 07:50:49,,,,1,N
2005,1,1148,1096,GMADA,1110104000,5,HOSP,2005-05-17 00:00:00,S,0,110,300.0,,,,,0,0,,C,S,2005-05-17 07:51:30,,,,1,N
2005,1,1149,1043,GMADA,1110106000,7,ACCSOC,2005-05-17 00:00:00,S,0,132,1496.0,,,,,0,0,,C,S,2005-05-17 07:52:16,,,,1,N
2005,1,1150,1042,GMADA,1110106000,7,ACCSOC,2005-05-17 00:00:00,S,0,110,360.0,,,,,0,0,,C,S,2005-05-17 07:56:03,,,,1,N
2005,1,1151,1039,GMADA,1110106000,7,ACCSOC,2005-05-17 00:00:00,S,0,132,400.0,,,,,0,0,,C,S,2005-05-17 07:58:01,,,,1,N
2005,1,1152,1038,GMADA,1110106000,7,ACCSOC,2005-05-17 00:00:00,S,0,132,1332.0,,,,,0,0,,C,S,2005-05-17 07:58:48,,,,1,N
